Time (s),Sensor 1 - Short Channel
17.21718406677246,2712
17.226425170898438,2758
17.236499071121216,3032
17.24639391899109,2725
17.25639820098877,2954
17.26680302619934,2899
17.276257038116455,2927
17.286354064941406,3063
17.29629111289978,2790
17.306252002716064,3096
17.316138982772827,2941
17.326114177703857,3015
17.336112022399902,3148
17.346046924591064,2794
17.35602903366089,3169
17.36597990989685,2938
17.37593698501587,3007
17.385892152786255,3176
17.396191120147705,2796
17.40591788291931,3151
17.415936946868896,2901
17.425989866256714,3041
17.435908794403076,3031
17.445686101913452,2729
17.45566701889038,3036
17.465940952301025,2873
17.4755699634552,2995
17.485477924346924,3022
17.495617151260376,2702
17.505794048309326,3093
17.515424966812134,2818
17.52541494369507,2968
17.5354061126709,3083
17.545480012893677,2684
17.555710077285767,3007
17.56541109085083,2860
17.57545495033264,2997
17.58542799949646,2935
17.59538197517395,2787
17.605430126190186,2904
17.615241050720215,2503
17.625416040420532,2592
17.635212182998657,2384
17.64521598815918,1953
17.655155897140503,2456
17.66508913040161,2130
17.67508602142334,2360
17.68515682220459,2418
17.695142030715942,2198
17.705148935317993,2716
17.71519112586975,2369
17.725039958953857,2648
17.734966039657593,2729
17.744925022125244,2544
17.75502586364746,2905
17.764874935150146,2615
17.77484107017517,2862
17.784816026687622,2815
17.79485011100769,2619
17.804769039154053,3016
17.81469488143921,2540
17.82478904724121,2826
17.83469009399414,2840
17.84469985961914,2682
17.854595184326172,3085
17.864758014678955,2763
17.874762058258057,2945
17.884515047073364,2906
17.8944730758667,2628
17.90444588661194,2914
17.91455316543579,2723
17.92457103729248,2935
17.934226989746094,2899
17.944149017333984,2655
17.954417943954468,3050
17.96446394920349,2640
17.97452712059021,2875
17.98440909385681,2791
17.99433922767639,2714
18.004064083099365,2958
18.01415514945984,2680
18.02432417869568,2890
18.034229040145874,2767
18.044233083724976,2809
18.05417490005493,2923
18.063775062561035,2716
18.07372498512268,2938
18.083709955215454,2891
18.093708038330078,2851
18.103652238845825,3054
18.11371111869812,2639
18.123732089996338,2957
18.133706092834473,2888
18.143798112869263,2822
18.15377902984619,3008
18.163937091827393,2717
18.173752069473267,2988
18.18356680870056,2825
18.19374394416809,2822
18.203716039657593,3024
18.213376998901367,2600
18.223695993423462,2911
18.23371386528015,2802
18.24360990524292,2825
18.253583908081055,2976
18.263543128967285,2698
18.27352809906006,2904
18.283128023147583,2706
18.293113231658936,2841
18.3032808303833,2993
18.31324815750122,2574
18.323008060455322,2914
18.332947969436646,2778
18.344300985336304,2782
18.35295796394348,2965
18.362882137298584,2580
18.37295699119568,3062
18.38282084465027,2796
18.39280891418457,2777
18.40272808074951,2901
18.41282296180725,2425
18.42280411720276,2686
18.432857990264893,2389
18.442790985107422,2265
18.452800035476685,2338
18.462822914123535,1875
18.47273302078247,2399
18.482742071151733,2055
18.492788076400757,2201
18.502763986587524,2413
18.512770175933838,2109
18.522725820541382,2579
18.532649040222168,2327
18.542720079421997,2537
18.5526442527771,2611
18.56226110458374,2316
18.572154998779297,2736
18.58209204673767,2551
18.592162132263184,2617
18.602156162261963,2742
18.6122989654541,2483
18.62220287322998,2789
18.63213300704956,2549
18.6427960395813,2695
18.655391931533813,2793
18.662024974822998,2502
18.672115087509155,2809
18.682106971740723,2631
18.69219994544983,2730
18.702134132385254,2749
18.711776971817017,2531
18.72180986404419,3002
18.731853008270264,2644
18.74187707901001,2780
18.7518310546875,2734
18.761848211288452,2626
18.771862030029297,2809
18.78171181678772,2570
18.791884183883667,2721
18.80166506767273,2756
18.811864137649536,2555
18.821784019470215,2859
18.831618070602417,2602
18.841729164123535,2724
18.85145592689514,2751
18.86168909072876,2567
18.87165117263794,2886
18.881614208221436,2584
18.89121699333191,2836
18.901316165924072,2822
18.911357879638672,2629
18.921369791030884,3015
18.931318044662476,2522
18.941220998764038,2797
18.951183795928955,2796
18.961204051971436,2695
18.97119379043579,3018
18.98095393180847,2650
18.991021156311035,2880
19.00086498260498,2802
19.01101803779602,2718
19.020998001098633,2903
19.030985116958618,2631
19.041016101837158,2819
